"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"12_07";3;-;12;5;10;3;4;6;-;2;4;3;4;1;2;5;16;13;31;3;6;10;12;8;22;3;5;14;8;31;3;5;3;8;25;14;10;5;1;5;6;29;13;5;26;10;9;3;-;2;2;1;1;4;1;14;2;4;8;12;2;7;7;7;4;2;1;3;19;-;7;5;6;9;11;17;11;14;4;1;2;4;10;2;3;10;2;6;5;2;9;4;11;17;6;5;712
"13_07";24;8;21;38;36;4;20;10;8;11;74;16;24;6;14;32;88;41;109;25;22;118;76;55;55;6;28;44;46;118;33;63;22;18;88;72;51;18;14;8;61;98;50;11;115;35;86;23;15;26;14;4;15;22;23;52;8;29;43;50;15;11;17;57;37;39;8;19;59;14;15;10;28;56;60;32;45;129;23;8;11;50;50;4;23;55;34;11;43;10;22;22;42;24;25;21;3473
"14_07";20;2;10;18;23;3;34;6;8;9;69;8;21;6;6;16;60;32;72;14;22;53;34;35;42;5;24;38;20;78;23;37;22;15;49;69;41;21;5;10;77;66;33;11;71;42;54;13;6;28;8;-;11;16;7;42;11;20;31;36;12;11;8;44;23;19;6;20;41;10;19;12;12;30;43;27;41;99;24;3;6;28;34;13;18;49;26;10;40;4;19;17;20;21;22;19;2513
"15_07";20;2;10;21;31;3;8;6;5;17;62;9;18;6;14;17;49;25;62;17;11;38;45;36;38;8;28;33;37;66;20;29;21;21;60;48;30;13;8;4;69;64;30;11;66;19;48;13;5;17;16;1;17;11;9;16;5;20;23;23;19;13;2;43;26;18;3;23;49;14;19;12;25;46;38;28;34;94;26;6;2;26;30;15;23;35;28;6;28;7;13;18;20;17;18;16;2319
"16_07";12;5;6;18;11;4;9;7;3;7;37;7;16;1;10;17;50;20;75;19;4;54;36;41;30;12;14;15;29;44;17;36;19;15;41;45;23;8;4;5;30;55;18;9;81;36;41;7;6;23;9;1;10;10;5;30;8;22;24;20;5;15;6;34;30;14;5;15;37;8;7;10;15;38;44;23;21;79;17;3;5;22;14;9;21;33;28;6;71;4;9;15;20;7;18;11;1990
"17_07";17;2;8;17;20;3;13;4;3;8;28;6;15;1;6;13;29;21;56;15;5;48;29;33;30;6;12;30;24;54;18;30;15;11;30;52;27;12;3;10;28;51;22;5;33;38;27;10;8;10;8;2;9;8;4;43;3;21;17;22;12;10;8;30;15;11;4;9;16;6;8;6;9;36;34;25;19;62;5;-;2;18;18;4;16;27;18;7;116;4;12;8;25;14;4;9;1760
"18_07";3;-;4;15;18;-;10;9;-;4;18;4;12;2;7;9;29;28;48;6;6;14;26;21;25;2;6;14;14;32;13;33;9;7;36;30;21;6;2;5;18;34;21;1;30;6;13;1;1;7;2;-;1;6;3;8;2;8;5;19;5;13;6;11;12;9;2;6;16;6;9;1;10;13;13;7;22;49;6;-;2;7;5;7;12;12;18;4;11;3;6;5;9;8;13;6;1078
"19_07";3;-;2;1;14;-;-;1;1;4;8;-;6;1;3;6;9;11;17;3;5;11;8;11;5;3;7;4;4;14;6;4;3;2;15;15;6;3;-;-;4;25;6;1;17;9;16;1;2;5;2;-;1;7;3;2;-;2;7;5;1;2;1;3;1;7;1;5;9;3;3;2;1;5;10;5;3;15;4;-;2;6;6;1;7;13;5;2;8;1;4;2;4;4;4;-;481
"20_07";22;5;13;23;36;2;16;9;3;9;58;4;20;2;12;21;57;36;77;16;10;54;38;31;33;7;17;31;47;63;20;34;12;22;71;63;38;19;5;5;34;56;22;12;55;32;36;1;6;7;13;2;14;7;11;34;4;13;24;34;9;19;6;33;18;20;9;13;43;13;14;9;17;52;53;33;27;89;24;3;3;21;26;9;20;50;26;5;31;7;15;16;16;10;15;13;2265
"21_07";26;8;13;29;42;2;22;6;4;9;95;15;27;10;14;32;94;41;93;22;30;80;74;44;45;14;26;26;42;101;25;46;26;37;70;66;50;22;6;9;125;87;52;26;91;50;54;29;12;18;26;2;30;20;14;56;7;16;28;42;13;14;13;67;28;22;7;28;54;14;27;34;34;58;60;24;41;109;30;12;6;32;49;27;36;37;37;16;28;11;25;27;35;22;29;29;3363
"22_07";15;8;22;19;26;10;11;14;3;11;64;11;29;4;7;18;56;31;76;20;18;80;52;38;33;8;24;25;45;90;25;33;19;39;63;40;33;15;7;12;67;83;43;5;84;18;46;14;9;12;22;-;27;13;13;45;6;22;31;30;13;15;9;53;23;26;8;16;47;9;30;16;25;51;40;19;15;81;24;3;15;20;42;16;29;44;27;6;28;8;42;18;28;11;14;23;2638
"23_07";23;5;21;28;33;3;11;13;6;9;50;11;32;6;15;31;52;25;83;20;8;68;52;37;39;3;12;31;29;94;36;32;14;12;51;66;43;12;8;10;44;67;41;11;91;35;51;14;5;14;10;1;15;8;7;29;4;13;31;27;10;18;11;34;22;25;9;22;50;13;13;13;12;29;48;26;36;76;20;7;5;16;30;14;23;32;18;6;36;11;27;18;28;14;24;23;2471
"24_07";19;8;12;24;28;5;7;6;4;12;60;6;35;9;15;16;60;24;68;30;10;52;35;35;34;13;15;32;35;74;27;34;16;24;51;58;38;17;4;10;38;61;45;19;85;40;47;18;13;15;15;-;23;24;11;28;7;24;34;37;17;29;13;42;16;20;18;25;50;20;14;17;12;44;47;21;33;86;19;10;4;21;25;16;21;59;20;9;31;10;13;26;27;23;20;31;2555
"25_07";9;3;7;15;19;-;6;7;1;6;24;2;17;2;7;12;21;11;30;10;6;29;37;17;16;3;12;10;11;47;15;21;2;3;26;23;15;5;3;6;16;36;18;5;29;23;27;4;5;6;9;1;5;3;1;17;2;10;19;15;5;7;2;14;12;11;3;8;11;2;5;3;4;11;12;17;23;51;8;3;3;15;9;4;4;23;13;2;19;7;9;7;13;9;16;5;1137
"26_07";4;1;6;5;3;-;3;3;4;2;11;1;14;-;3;5;12;9;24;4;6;14;12;15;5;1;5;6;5;31;4;12;7;5;18;13;6;4;3;2;9;24;12;4;15;3;16;3;2;6;3;-;5;1;5;10;-;-;7;8;5;15;3;8;4;-;6;7;12;5;2;5;3;5;12;6;5;12;5;5;-;4;9;4;8;6;3;7;10;1;4;3;11;12;1;1;630
"27_07";22;6;20;33;27;7;11;9;8;8;54;6;40;14;16;19;71;37;86;21;26;51;47;40;47;15;29;31;48;93;32;44;29;19;60;62;41;25;3;9;60;100;55;15;100;33;50;25;9;21;25;3;20;25;16;48;5;20;36;28;26;19;11;43;30;29;7;28;67;9;23;15;17;48;65;24;31;111;25;16;12;29;26;9;17;36;25;13;35;9;23;34;31;12;47;20;2982
"28_07";23;8;12;30;21;3;13;5;4;14;36;13;30;9;15;20;68;26;78;24;9;53;45;40;19;12;27;26;28;79;30;30;21;19;40;54;62;16;12;8;49;86;57;16;60;30;53;16;11;21;16;1;29;15;6;37;4;14;25;26;11;20;11;52;15;20;13;26;41;16;23;21;12;55;52;29;31;83;20;7;10;16;34;12;23;49;29;8;47;6;24;21;29;14;27;21;2582
"29_07";16;6;19;29;24;2;7;13;6;7;54;8;35;5;7;25;44;14;63;12;9;47;36;25;36;6;19;14;40;73;26;37;12;23;54;59;31;17;2;7;57;58;34;17;65;40;38;9;3;19;18;2;22;15;14;29;8;11;31;22;19;19;12;30;25;15;11;22;45;13;16;8;18;26;46;26;42;68;16;6;6;24;27;9;22;31;22;8;30;6;28;15;25;19;26;19;2281
"30_07";7;11;19;32;27;2;12;10;3;7;45;7;23;5;13;17;35;20;70;9;11;52;25;27;34;11;28;23;30;64;16;32;17;20;51;57;44;8;7;12;51;66;27;21;78;37;43;25;9;19;16;1;21;19;6;25;4;18;24;32;25;9;11;24;22;19;19;27;52;16;25;21;19;36;46;20;38;70;10;3;6;30;30;21;16;35;17;7;34;9;13;18;18;19;16;27;2313
"31_07";18;3;12;24;15;4;14;7;3;4;46;7;30;3;6;16;39;16;58;13;10;43;40;34;30;8;24;42;20;60;20;39;20;21;45;42;33;15;4;11;48;44;32;13;58;29;25;9;9;10;27;1;9;8;8;13;6;16;41;16;16;28;8;28;19;22;8;33;49;13;23;8;16;22;40;27;27;59;13;4;3;25;32;14;24;50;14;11;22;9;19;15;17;11;22;19;2091
"01_08";7;4;4;19;17;-;6;7;7;-;20;4;12;4;3;15;13;20;38;16;5;26;21;25;11;4;10;14;16;33;7;27;11;8;30;27;14;6;1;2;22;50;27;9;41;12;28;3;6;1;6;1;3;8;12;9;5;12;12;12;6;7;8;16;6;11;5;15;19;3;13;5;8;12;11;20;15;40;15;1;3;10;15;5;8;14;8;3;15;6;16;3;8;8;15;10;1176
"02_08";4;1;9;6;5;1;3;-;-;5;10;4;8;4;5;7;7;10;15;4;3;12;12;2;16;5;7;9;11;18;2;3;7;2;13;7;9;4;2;1;9;23;20;4;23;2;6;5;1;4;4;-;3;10;-;10;1;4;5;3;5;13;1;5;8;5;-;3;8;4;9;4;3;7;9;7;3;9;5;4;1;3;2;2;9;8;7;2;5;2;8;3;4;5;3;3;569
"03_08";19;5;9;25;28;5;10;11;6;14;48;9;25;8;13;28;67;37;80;18;18;83;61;24;35;14;24;44;34;88;25;44;26;9;60;51;46;16;4;5;54;92;44;12;87;24;38;8;4;22;13;-;19;18;11;33;4;16;30;36;22;11;5;39;23;21;21;22;52;17;21;18;20;38;31;26;42;120;20;8;7;38;45;15;21;50;16;11;21;11;21;20;22;23;23;16;2678
"04_08";21;7;10;28;25;9;17;12;8;7;49;9;41;6;15;19;48;26;68;23;9;82;41;26;32;10;27;28;37;83;29;25;14;24;41;50;50;15;1;8;66;65;30;19;65;22;40;23;15;16;11;1;14;9;6;30;3;16;32;32;22;15;6;51;26;32;7;17;36;14;25;10;19;34;45;24;14;69;21;7;11;28;23;13;28;27;23;5;27;11;25;24;18;12;22;17;2403
"05_08";17;5;6;19;19;3;11;9;6;6;53;7;30;7;12;21;58;21;72;19;16;67;41;18;21;13;17;21;30;89;13;38;27;24;63;35;43;19;8;7;35;73;26;12;75;17;35;14;9;13;12;1;12;11;9;34;7;16;30;22;14;17;7;39;24;19;9;24;41;17;12;15;11;30;26;26;33;74;16;6;9;17;27;12;18;32;28;10;18;9;14;22;21;23;39;21;2254
"06_08";26;7;10;13;21;9;8;10;3;5;49;3;22;4;9;20;46;25;71;15;19;55;28;30;27;7;18;28;33;52;22;39;17;32;56;45;38;15;7;7;33;72;19;26;72;22;32;21;6;19;12;2;12;21;7;28;6;23;23;28;25;42;14;32;14;30;7;24;29;15;12;12;9;20;39;22;18;91;22;6;4;16;22;13;27;38;27;11;35;8;17;22;27;21;38;19;2263
"07_08";19;6;12;16;30;8;12;6;2;5;35;6;27;4;11;20;63;27;66;16;13;62;40;31;23;15;27;27;19;64;18;34;10;16;60;52;32;20;3;4;39;60;39;15;66;27;48;15;3;17;8;2;10;14;12;32;1;16;28;26;11;18;3;36;17;16;8;27;36;16;15;6;25;25;48;21;34;93;18;3;7;21;23;7;54;26;23;6;23;2;11;23;15;13;25;17;2211
"08_08";4;2;6;4;13;1;6;5;3;3;7;6;9;6;7;11;38;12;34;7;5;20;23;10;15;5;12;7;11;39;11;5;7;15;28;24;25;11;2;8;27;45;12;7;33;14;12;5;3;6;10;1;1;6;-;8;1;2;8;14;4;13;6;15;14;5;2;10;17;6;8;7;1;9;20;12;15;46;3;2;1;6;8;14;15;10;9;9;10;4;12;6;15;14;5;6;1041
"09_08";8;1;3;1;8;2;7;3;-;1;15;2;7;-;-;8;10;11;13;5;4;10;6;3;7;7;4;10;11;8;4;2;4;2;20;14;4;3;1;2;12;27;8;4;3;8;13;3;3;2;7;-;6;3;2;-;2;4;3;4;12;15;-;11;3;3;3;5;15;2;6;7;4;2;7;9;7;13;3;-;1;5;8;4;3;8;6;4;6;-;7;4;6;3;2;5;544
"10_08";23;4;11;31;29;7;12;11;7;14;47;9;23;5;20;21;52;23;81;17;11;82;46;44;39;7;15;44;24;93;20;43;20;21;68;66;39;15;7;11;53;85;30;14;90;27;44;14;14;20;12;3;23;16;21;33;5;15;34;40;15;18;17;46;22;30;13;27;43;17;18;16;12;34;57;19;32;106;16;7;6;27;31;14;50;46;36;10;32;16;15;22;19;22;17;25;2708
"11_08";17;2;15;24;20;6;10;5;2;8;41;9;20;7;9;16;41;15;65;24;15;68;38;31;29;10;14;27;39;56;24;28;30;14;58;58;41;10;9;7;49;62;31;15;61;26;42;9;2;9;10;2;10;12;8;27;7;16;29;23;15;16;7;38;21;10;9;16;47;9;12;14;17;40;33;24;21;77;12;4;4;20;33;9;32;44;24;4;23;7;13;19;32;16;23;15;2172
"12_08";14;4;4;15;36;2;17;10;2;2;32;8;34;4;10;27;36;28;68;20;7;58;31;33;30;5;14;25;32;49;17;22;17;14;36;45;39;22;6;13;50;71;30;15;63;18;26;9;7;14;9;1;7;16;11;15;1;22;22;33;13;21;9;33;8;15;5;27;29;28;19;6;20;26;34;19;14;95;11;-;2;13;29;11;69;45;28;7;26;5;23;14;26;20;25;17;2120
"13_08";19;9;8;20;26;3;19;5;2;5;49;10;37;6;15;10;40;25;37;24;11;91;30;22;20;10;21;26;18;39;11;14;22;19;21;48;40;7;8;7;51;57;19;21;47;12;24;8;4;10;9;1;13;15;7;11;5;11;19;20;12;6;6;31;21;23;7;19;32;16;11;11;13;42;43;13;18;80;13;4;4;23;22;11;15;29;22;7;25;6;11;16;21;24;32;14;1921
"14_08";11;1;5;16;22;2;8;8;4;6;38;7;19;9;18;23;30;19;53;13;11;70;28;26;18;10;13;19;29;37;20;11;10;14;35;33;22;15;3;6;32;47;26;17;47;14;37;8;3;10;9;2;13;9;5;19;2;10;20;28;8;13;13;24;12;14;7;21;33;8;12;8;20;28;22;23;20;50;12;5;4;17;22;8;13;26;12;9;15;1;8;12;19;12;27;15;1673
"15_08";2;4;7;11;8;1;7;3;5;3;10;8;9;1;1;6;14;21;22;8;2;12;10;11;16;11;4;12;11;13;7;11;11;3;14;22;16;6;-;3;20;32;23;5;28;10;15;8;3;3;6;-;3;4;5;10;-;8;16;13;7;7;8;12;8;13;6;14;10;5;9;5;7;9;23;8;14;40;9;7;1;11;15;3;10;10;5;3;7;2;10;10;17;8;6;8;905
"16_08";8;-;4;4;7;-;3;4;-;-;9;3;8;1;3;7;10;6;23;3;10;12;5;13;5;3;3;8;4;13;4;3;4;7;10;9;11;5;-;1;3;27;6;2;16;8;5;2;2;2;7;-;3;2;4;8;-;1;8;3;1;5;6;9;5;4;-;5;12;4;4;6;2;5;7;3;1;8;4;-;3;6;6;2;3;10;2;2;8;-;9;3;6;9;1;6;509
"17_08";15;1;12;30;34;3;9;9;7;8;71;13;27;3;6;19;54;24;70;19;10;71;26;41;23;8;31;27;24;61;19;29;27;18;47;51;42;17;7;4;55;62;23;18;66;39;45;13;11;8;18;3;14;15;3;24;3;20;37;29;20;19;10;29;29;27;8;25;47;12;18;10;23;40;35;15;40;68;15;5;5;11;29;17;25;44;29;12;29;4;18;16;23;19;17;25;2341
"18_08";14;6;8;13;24;2;6;9;2;4;31;13;12;5;4;19;47;27;41;19;9;65;25;15;23;7;14;25;20;46;16;23;16;12;46;41;26;10;3;7;31;46;26;6;40;24;30;12;4;3;9;2;15;17;7;17;1;17;23;31;11;8;7;31;15;9;11;18;31;13;16;8;17;19;29;22;15;51;13;2;6;12;27;13;28;18;18;4;13;4;13;13;21;26;20;17;1715
"19_08";16;1;15;22;19;7;7;7;4;5;51;5;17;1;7;21;50;30;37;18;16;77;27;28;33;3;12;26;21;53;19;20;14;9;35;36;36;13;3;9;29;60;26;13;57;32;29;17;8;9;18;2;5;13;4;14;4;10;16;26;15;22;12;28;16;14;4;20;22;10;17;3;18;37;32;11;18;57;20;3;4;14;31;9;19;28;24;3;27;6;14;14;18;15;24;12;1863
"20_08";10;3;6;6;12;5;5;4;4;3;23;5;13;1;4;12;27;9;31;9;6;46;20;18;16;3;5;14;6;20;6;11;10;14;23;19;17;15;5;1;19;34;16;7;21;13;16;5;7;11;10;-;4;4;6;15;2;3;13;11;8;10;3;15;8;8;11;14;26;5;5;3;4;11;17;3;12;27;6;2;-;11;20;10;11;19;13;5;12;2;5;8;16;5;20;2;1041
"21_08";9;2;4;23;27;6;12;7;3;4;45;4;13;4;2;23;32;15;63;4;9;48;28;23;16;3;13;21;27;29;13;13;26;5;28;28;22;10;4;8;30;40;19;21;48;23;26;14;11;11;11;-;15;15;3;16;4;15;18;25;20;5;8;24;22;19;8;13;35;10;21;8;13;32;27;17;22;59;7;3;3;16;19;17;10;17;8;9;19;5;10;8;30;15;12;11;1623
"22_08";5;-;6;4;6;2;6;-;2;-;14;5;11;2;2;3;15;12;30;5;1;14;6;13;18;3;8;7;5;14;2;10;7;4;13;13;4;5;4;1;9;29;9;3;16;7;14;1;2;3;7;-;4;7;1;3;1;1;7;9;2;12;1;6;5;9;5;10;17;3;8;1;3;15;11;7;7;15;7;3;1;7;12;4;6;9;5;2;8;2;4;4;11;5;10;4;656
"23_08";3;-;1;1;6;2;3;3;-;2;9;-;8;2;2;4;5;2;8;4;1;12;6;3;5;1;3;6;6;4;5;2;4;2;4;8;10;3;-;-;2;11;7;3;9;2;6;5;2;1;5;-;4;4;3;1;1;1;2;2;3;3;4;8;-;1;6;3;5;2;4;2;3;3;13;10;5;9;3;-;-;5;8;2;6;15;4;2;4;-;3;3;1;2;2;6;371
"24_08";28;3;8;22;23;3;8;8;5;6;52;7;18;6;6;20;40;27;56;12;17;62;17;34;36;4;11;22;31;65;16;23;15;13;37;26;36;21;4;4;33;45;26;13;57;29;36;14;6;7;9;1;10;15;4;26;7;11;37;22;9;15;5;23;21;10;7;27;46;7;16;10;13;36;42;21;19;73;17;5;6;19;28;10;11;34;19;9;33;4;15;14;21;17;21;23;1966
"25_08";14;3;5;17;14;1;7;2;3;4;48;9;16;7;6;16;23;19;40;8;6;54;27;24;27;-;12;16;14;32;10;20;8;8;31;34;33;22;2;5;30;40;10;2;15;18;19;10;11;8;8;-;9;16;7;13;2;13;21;20;6;21;9;27;16;10;4;13;47;5;13;8;11;37;22;14;11;38;9;2;2;14;22;14;16;19;17;1;9;4;13;15;10;16;28;23;1465
"26_08";13;4;9;28;12;4;6;8;23;12;40;2;11;4;4;8;49;23;59;5;18;31;11;26;26;5;12;21;20;39;19;12;21;9;23;31;25;15;1;8;32;44;23;12;30;22;19;6;2;10;13;1;6;8;7;15;2;15;23;25;12;8;5;27;21;5;7;19;33;11;19;7;15;42;21;19;25;38;10;6;2;26;30;15;26;18;17;6;13;7;8;7;16;11;26;15;1605
"27_08";13;6;11;18;16;1;8;4;16;4;36;8;17;5;9;14;51;13;81;20;9;39;35;29;22;3;15;25;15;46;17;22;13;9;26;45;24;17;1;3;21;39;21;9;39;18;27;5;5;6;9;-;10;17;4;12;2;13;29;26;14;8;8;18;16;16;5;21;48;8;14;13;11;26;33;18;26;65;9;2;3;15;28;12;20;23;21;5;19;1;10;15;11;7;27;25;1699
"28_08";7;3;6;15;18;2;11;4;4;3;40;6;14;5;8;19;38;21;59;9;6;35;23;24;30;3;15;17;16;50;7;21;10;18;24;30;29;14;8;14;27;37;22;12;45;10;29;8;5;10;7;1;11;15;8;14;4;13;28;19;16;12;8;28;18;8;11;14;36;15;16;11;14;16;11;27;23;58;16;3;4;14;22;6;22;19;15;6;16;4;16;11;13;11;28;20;1599
"29_08";4;1;4;7;11;-;1;1;2;4;6;-;7;1;2;6;26;17;25;5;1;19;9;11;10;4;4;14;9;20;10;6;6;7;14;6;11;4;3;3;6;18;8;3;22;5;16;2;2;4;4;-;1;4;4;9;1;4;15;8;4;4;1;14;12;7;1;6;21;1;4;6;4;10;12;14;11;23;3;1;-;5;8;7;4;18;5;1;4;1;4;7;10;8;7;3;688
"30_08";5;-;1;3;3;1;8;1;4;2;6;3;11;2;2;2;8;11;13;1;1;7;10;8;3;-;2;9;3;19;3;9;4;5;14;6;2;4;1;4;4;11;9;4;13;3;6;-;2;-;2;-;6;6;-;7;-;1;1;4;5;3;2;7;2;3;7;4;10;2;7;1;3;6;9;7;3;10;2;2;-;6;5;2;1;6;5;2;8;-;1;4;3;4;4;5;431
"31_08";19;2;9;24;16;-;16;11;2;6;48;9;22;3;11;20;29;21;56;25;25;66;29;24;19;5;8;31;18;48;26;15;15;17;18;51;28;15;1;14;37;43;12;6;44;20;34;7;6;18;5;-;11;16;4;15;4;20;30;26;9;13;4;26;23;5;9;13;46;8;30;12;12;50;40;13;27;64;9;3;3;18;24;7;15;25;26;6;16;3;17;19;23;6;21;13;1838
"01_09";13;4;5;19;21;3;10;3;4;7;45;12;18;4;10;20;33;27;52;15;15;18;21;20;24;3;15;20;21;40;12;7;12;11;14;36;26;9;2;6;30;44;19;8;34;5;21;8;8;21;20;-;5;12;7;8;-;11;10;18;13;7;10;30;22;14;5;24;31;11;11;8;35;29;19;8;14;51;10;2;5;14;26;17;11;18;15;5;7;5;6;7;15;18;14;12;1495
"02_09";13;1;6;16;14;5;9;1;-;5;23;7;20;2;7;12;26;18;46;11;14;36;19;10;15;7;11;14;21;33;10;4;10;13;14;36;21;18;8;6;29;34;21;8;44;18;13;15;10;13;12;1;7;7;4;10;2;8;17;21;10;11;10;32;17;13;8;12;27;12;24;18;13;34;14;3;15;49;17;1;4;6;16;7;16;25;13;6;13;9;13;8;11;11;14;9;1377
"03_09";11;-;6;15;20;1;6;6;1;1;40;4;23;6;6;10;22;24;23;12;9;29;10;23;18;5;10;14;14;28;17;7;9;12;13;22;20;10;2;7;25;26;11;10;31;10;14;10;7;12;11;-;6;11;12;10;4;8;13;12;11;7;3;29;18;9;9;23;36;7;21;10;21;48;14;8;12;50;12;3;3;12;29;10;8;27;9;4;15;2;19;16;8;11;19;13;1315
"04_09";3;8;2;13;16;4;6;5;1;-;39;3;19;1;3;14;18;13;37;16;22;17;19;14;15;5;6;8;23;31;13;14;17;10;7;32;21;11;4;5;27;31;11;5;44;17;14;9;4;20;13;1;13;12;7;11;2;13;12;12;10;8;9;20;17;5;3;12;27;13;11;10;13;21;20;7;12;40;10;1;2;14;14;5;12;12;10;6;8;4;5;12;14;8;7;11;1206
"05_09";3;2;-;12;8;-;5;1;3;1;6;2;5;2;-;3;7;14;12;6;7;5;3;13;12;1;4;3;8;17;10;8;6;6;4;9;10;3;1;2;8;13;13;4;14;4;6;2;4;5;7;-;4;7;6;3;-;5;6;3;2;6;2;14;8;4;3;5;5;4;3;4;8;11;9;2;5;17;6;1;1;6;8;1;4;4;6;5;5;-;9;5;2;2;2;5;522
"06_09";3;1;1;2;7;-;-;-;-;1;1;2;5;-;3;2;1;3;9;3;-;5;4;4;2;3;-;2;5;5;4;2;1;1;3;7;6;2;1;2;4;8;2;4;10;4;5;1;3;-;-;-;-;2;1;2;-;-;4;2;-;3;2;6;1;1;2;2;16;2;-;2;3;6;3;5;4;6;2;-;-;4;3;2;5;4;4;-;-;1;-;4;7;1;4;1;261
"07_09";2;-;1;6;4;3;1;3;1;2;6;-;3;1;1;3;16;16;14;3;9;7;4;6;7;1;7;2;11;9;9;2;3;8;3;10;7;1;-;6;14;16;6;4;8;4;7;3;1;4;6;-;3;3;3;3;-;5;5;3;1;7;1;5;6;4;1;10;8;3;5;5;8;9;9;5;2;23;6;1;1;5;6;3;6;5;5;1;4;1;9;3;2;4;7;4;481
"08_09";17;4;5;25;22;6;10;7;3;13;42;9;33;5;12;13;38;27;37;17;20;26;14;31;21;7;14;23;32;50;23;12;17;17;13;38;36;16;5;-;32;22;13;5;43;16;15;10;11;24;15;1;20;9;7;13;-;10;14;21;14;12;9;31;16;21;7;17;41;11;17;14;17;32;23;7;22;58;14;1;3;26;15;11;17;12;28;4;11;2;10;9;24;9;24;17;1667
"09_09";11;4;6;8;18;7;15;3;1;8;25;3;15;4;4;6;23;17;23;18;6;34;14;24;18;3;7;16;26;28;13;16;11;19;25;31;30;17;2;7;16;30;13;4;26;25;20;14;3;13;13;-;8;19;4;7;3;11;9;16;9;13;10;22;17;10;7;5;20;8;16;9;20;24;18;12;14;45;16;4;1;11;22;16;13;26;23;4;9;5;8;13;25;16;14;12;1337
"10_09";16;4;6;19;18;2;9;16;3;1;34;4;13;1;3;10;19;25;40;13;10;17;15;20;14;5;10;13;22;21;18;10;13;8;16;39;11;13;3;2;26;24;10;8;22;12;11;6;4;19;13;-;9;7;4;8;4;11;10;26;9;25;4;21;13;10;5;12;18;4;12;11;15;43;20;10;20;45;10;4;2;18;21;14;9;17;13;9;14;5;4;18;25;17;19;11;1297
