"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"20/01";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"05/02";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"15/02";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"01/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"06/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"07/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"11/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"12/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;6
"13/03";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;7
"14/03";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;6
"15/03";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"16/03";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;10
"17/03";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;14
"18/03";-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;18
"19/03";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;3;-;-;-;-;-;-;-;1;2;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;3;-;29
"20/03";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4;1;28
"21/03";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;-;1;1;-;18
"22/03";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;10
"23/03";2;-;1;-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;2;-;-;1;-;-;-;-;1;1;1;1;5;2;2;-;-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;3;-;-;-;2;-;1;1;-;1;1;2;-;3;-;-;-;-;1;-;2;-;-;-;1;-;1;3;-;1;-;-;3;1;61
"24/03";1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;2;1;1;-;-;1;-;-;-;-;1;5;-;-;-;-;1;1;-;1;-;1;-;1;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;2;-;1;-;-;1;-;-;-;-;-;-;1;1;-;2;-;1;-;40
"25/03";-;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;2;2;-;-;-;-;5;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;1;-;-;-;1;-;-;3;1;-;2;1;1;-;1;1;-;-;-;2;1;1;-;-;1;-;-;-;2;1;-;2;-;2;3;55
"26/03";-;-;1;1;2;-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;1;-;2;1;-;-;2;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;4;39
"27/03";-;4;1;1;3;-;3;-;1;-;3;1;1;-;2;4;3;3;1;-;1;4;-;5;2;3;4;1;1;3;2;2;3;10;5;2;5;1;-;-;1;5;-;10;2;1;3;1;2;2;1;-;14;1;8;2;1;-;3;3;4;-;9;3;4;1;2;2;6;5;-;4;1;-;2;2;1;2;3;1;1;2;1;1;9;1;1;-;2;3;1;2;2;1;2;1;51;53;331
"28/03";-;1;1;1;2;-;2;-;-;1;2;1;1;-;4;1;5;2;4;-;-;1;5;2;5;3;2;-;2;7;3;-;-;6;5;1;9;-;-;-;2;5;-;5;2;-;1;1;2;1;2;-;8;1;12;3;1;-;4;1;3;2;4;4;1;3;1;3;1;2;3;1;1;-;4;2;-;1;5;1;1;1;1;-;10;2;-;-;1;4;-;2;-;-;1;3;30;54;282
"29/03";-;-;-;2;-;1;-;1;-;-;-;-;-;-;2;1;1;3;-;3;1;1;-;-;-;1;-;1;-;1;-;1;-;3;1;2;3;-;-;-;-;-;-;6;3;1;1;-;2;-;-;-;8;-;5;1;-;-;-;1;-;1;4;-;-;-;-;-;-;2;-;-;1;3;1;-;-;2;1;-;1;1;3;-;6;-;-;-;-;1;-;2;1;2;-;6;20;23;138
"30/03";3;1;1;2;1;-;2;-;-;-;2;2;5;2;4;5;2;3;5;-;2;4;5;2;1;2;4;2;3;-;-;2;3;9;5;6;9;-;1;-;3;10;1;7;4;3;2;1;1;-;2;-;8;3;11;-;-;1;-;-;4;4;6;3;1;-;3;1;7;6;4;4;1;2;1;2;4;5;5;-;3;1;1;6;7;2;-;-;2;5;1;8;2;2;4;1;18;10;293
"31/03";1;2;-;1;2;-;8;1;-;-;1;3;5;-;2;3;2;2;8;4;2;4;3;2;6;1;3;1;4;2;5;-;2;1;4;3;6;2;-;-;4;3;1;4;3;5;1;1;2;-;5;-;5;-;26;-;-;4;4;2;5;2;3;2;1;3;-;2;8;1;6;-;-;5;3;1;1;8;3;1;1;4;2;-;13;-;-;1;-;1;1;4;2;-;-;6;10;15;281
"01/04";6;2;1;-;4;-;19;-;2;-;2;1;5;3;8;4;7;3;13;-;1;12;4;-;6;1;2;1;2;11;1;1;6;2;4;9;5;4;1;-;2;17;4;11;10;2;3;3;-;4;5;-;7;3;22;9;-;7;2;5;1;4;3;-;2;4;-;1;10;1;1;8;3;3;8;3;2;9;4;1;-;1;6;3;16;2;3;1;2;-;3;10;6;2;7;4;9;27;439
"02/04";-;-;-;1;3;1;5;2;-;1;4;-;6;-;3;-;5;3;9;1;1;6;2;14;6;2;2;1;4;7;2;6;3;3;4;8;4;1;1;2;4;11;1;5;4;6;6;-;2;3;2;-;6;-;14;1;-;2;4;6;6;-;4;3;3;4;-;2;7;1;5;3;3;3;6;2;9;7;7;-;-;3;3;1;5;-;3;-;1;-;3;8;9;2;2;3;17;16;351
"03/04";2;-;-;4;7;2;4;-;-;1;7;-;1;-;6;2;8;12;9;2;1;9;1;10;6;2;9;2;3;5;7;11;5;3;8;20;6;8;-;-;7;15;3;7;5;3;1;6;4;2;6;-;4;1;13;1;-;4;2;7;4;2;2;4;2;3;-;6;17;3;3;4;-;6;9;4;6;8;3;-;1;4;2;2;2;8;3;1;7;1;2;11;5;6;2;7;16;19;459
"04/04";-;1;2;1;1;2;3;1;1;1;3;1;3;-;2;1;4;5;7;1;-;3;1;1;3;2;-;1;2;4;4;7;5;5;4;5;2;3;-;1;4;3;2;3;2;2;3;5;4;2;3;-;8;1;9;1;2;4;4;4;-;-;1;-;2;1;1;-;8;-;3;1;3;1;5;-;10;6;5;1;-;-;1;1;4;2;3;1;1;1;2;9;2;1;-;1;2;10;248
"05/04";2;2;-;2;2;-;2;-;-;2;-;-;3;1;-;-;2;3;4;-;-;3;1;2;1;2;1;1;1;4;2;3;1;1;3;3;1;-;-;-;2;4;4;4;5;5;2;3;1;1;1;-;1;-;20;1;-;3;-;3;1;1;-;-;1;2;1;1;2;1;-;1;-;1;4;2;2;1;2;-;-;2;1;-;1;2;-;2;1;-;-;5;3;2;2;1;4;6;170
"06/04";3;2;4;6;7;-;9;2;3;-;6;1;4;6;1;4;8;5;14;5;1;7;3;7;18;3;7;3;5;12;7;18;5;3;6;22;9;7;1;2;6;22;4;9;11;9;10;2;2;4;4;-;6;4;11;5;2;9;1;8;4;4;6;4;2;4;-;4;22;3;11;4;3;11;8;9;16;25;8;1;1;6;9;4;4;6;2;1;4;4;-;10;10;3;10;3;2;34;627
"07/04";5;5;2;1;4;1;12;1;1;1;9;1;5;2;2;2;11;5;20;6;5;11;5;12;15;8;1;3;7;7;7;12;3;8;17;15;11;7;-;1;4;15;5;11;15;8;11;5;9;4;8;-;9;4;9;8;2;17;6;6;3;2;7;4;2;8;3;4;11;4;4;3;1;7;7;1;18;15;11;1;1;2;8;6;9;8;5;1;4;3;4;11;6;1;5;2;14;33;646
"08/04";3;3;1;4;10;-;7;3;2;1;6;-;4;-;4;3;15;8;23;3;3;5;8;7;15;9;3;4;2;9;6;9;5;7;18;20;7;7;1;1;4;18;5;10;10;7;16;3;6;4;8;-;4;4;17;5;-;7;3;11;8;2;9;5;4;2;5;10;14;3;10;7;1;7;8;5;8;11;7;-;1;3;5;5;13;7;3;1;2;-;4;13;8;11;5;6;19;29;649
"09/04";3;-;2;3;3;-;16;1;-;1;8;1;2;-;5;5;9;15;17;3;1;4;8;9;13;-;4;1;2;5;4;9;8;3;11;24;10;7;2;3;5;11;4;6;5;7;4;4;1;3;2;-;3;4;9;5;1;8;1;9;6;1;1;3;9;7;2;5;10;5;3;3;2;6;8;3;6;13;4;1;2;5;5;5;9;4;1;-;4;1;3;12;8;4;6;6;15;20;522
"10/04";1;3;2;3;3;1;1;1;-;1;4;2;3;1;2;2;6;2;9;1;3;1;3;1;7;3;2;3;-;3;5;2;1;9;5;2;5;4;-;4;1;4;1;4;2;3;2;1;2;2;4;-;6;2;6;-;1;-;1;7;2;1;1;-;2;3;3;1;7;3;3;-;-;1;6;-;1;4;3;-;-;-;4;1;7;4;1;1;4;3;4;7;4;4;6;1;12;14;278
"11/04";1;1;1;5;4;-;3;-;-;1;1;1;1;-;-;1;1;5;5;4;-;5;-;5;5;1;2;1;-;7;3;6;2;7;3;9;2;3;-;1;1;1;-;5;6;2;3;3;1;1;4;-;3;1;21;1;1;3;2;7;1;1;1;-;2;2;-;1;10;1;3;3;3;6;4;2;6;9;-;-;-;2;3;-;5;3;-;-;1;-;2;6;4;5;1;2;3;11;266
"12/04";-;-;-;-;5;-;1;-;-;-;2;-;3;-;-;-;4;4;6;1;1;1;-;2;8;-;1;-;1;5;-;6;2;1;4;3;-;2;-;-;1;2;-;-;4;-;1;-;3;1;2;-;-;1;2;1;-;-;1;3;-;2;1;-;2;2;1;2;5;-;2;-;-;1;2;2;3;5;1;-;-;1;4;-;-;2;-;-;-;-;-;1;4;1;2;2;11;4;148
"13/04";3;4;2;6;9;3;14;2;-;2;12;1;10;-;-;6;10;19;20;2;-;15;6;13;30;2;2;3;4;14;7;24;6;6;16;26;12;6;5;1;8;29;7;11;14;17;9;4;1;4;8;-;7;5;11;7;1;5;2;12;5;4;5;4;5;9;4;9;22;8;4;5;4;13;9;2;15;24;11;2;1;2;9;-;9;8;3;-;8;2;1;10;15;8;7;2;23;37;794
"14/04";3;2;2;5;8;1;11;5;-;-;16;2;11;1;3;2;18;14;11;3;4;13;12;12;13;5;1;4;7;20;5;21;7;17;26;26;15;2;3;-;8;32;7;6;16;7;6;5;4;8;5;-;9;7;10;8;1;7;4;15;2;3;8;5;6;11;4;2;15;1;2;4;3;8;6;6;13;24;10;2;2;8;7;2;9;5;4;-;3;-;4;11;8;5;4;6;29;33;771
"15/04";4;1;1;3;16;1;12;7;1;7;15;3;16;3;6;4;11;14;24;4;3;12;6;12;12;3;3;3;8;27;5;20;4;6;5;42;10;8;-;2;2;23;9;5;14;12;9;-;3;4;4;-;5;4;5;9;3;9;5;6;5;1;6;7;7;7;-;4;22;3;6;4;3;5;13;2;23;19;7;-;3;7;11;3;10;8;7;-;3;9;8;8;15;2;5;12;18;28;776
"16/04";4;-;2;4;8;1;14;2;4;-;17;3;9;2;3;-;17;9;15;3;3;19;11;3;16;2;5;7;7;18;9;17;3;3;10;29;15;7;1;1;9;14;5;11;16;7;8;-;5;2;5;1;5;4;14;6;2;8;4;3;5;5;6;3;4;9;7;4;20;3;3;4;3;7;8;4;18;20;8;3;2;6;10;2;15;9;4;2;10;-;7;7;3;4;4;12;28;46;747
"17/04";7;2;1;2;9;-;2;6;1;1;31;3;5;4;2;8;10;13;23;3;2;11;10;7;13;6;5;6;6;9;9;10;5;10;13;24;6;3;1;2;8;23;4;6;9;10;5;1;8;6;4;-;6;3;15;6;1;5;7;3;22;-;6;4;6;4;4;5;18;2;4;7;3;8;11;3;8;29;6;3;1;8;12;4;11;11;6;1;4;1;6;12;13;4;6;15;27;22;738
"18/04";-;2;2;2;4;-;3;-;1;-;6;-;6;1;1;2;7;5;7;3;1;8;2;6;9;4;-;1;6;6;2;8;1;5;7;5;7;4;2;2;3;17;5;4;7;4;4;2;1;2;3;-;1;1;6;4;-;5;1;2;-;5;9;2;4;4;1;3;7;2;-;4;-;1;6;2;5;10;3;2;1;3;3;-;2;4;-;-;3;3;3;5;5;3;4;2;19;20;360
"19/04";-;-;-;-;3;-;-;1;-;-;1;-;5;-;1;1;7;5;4;1;1;2;2;2;2;1;-;-;3;10;2;1;-;1;3;2;2;2;-;-;-;16;3;-;6;-;-;-;2;1;1;-;1;1;-;1;-;-;6;2;-;2;-;2;-;6;3;-;6;-;1;-;2;4;3;1;6;8;1;1;-;1;1;-;5;-;-;-;2;1;-;6;-;-;1;2;9;6;185
"20/04";5;3;2;7;6;1;11;2;3;2;11;4;10;1;6;4;16;11;24;5;2;15;8;7;8;6;4;8;4;14;1;16;9;5;7;21;15;8;3;2;5;30;4;6;24;9;10;2;3;1;5;1;12;8;11;10;-;5;7;3;11;3;3;3;2;14;4;7;12;4;5;3;2;7;12;3;7;11;7;5;3;7;11;5;21;5;2;-;4;2;5;7;15;4;4;9;40;38;760
"21/04";3;-;1;5;7;-;3;1;2;-;5;-;4;2;-;2;7;5;14;1;4;4;10;8;3;2;-;2;2;14;2;4;4;2;6;15;7;5;-;-;4;20;3;3;12;4;-;1;4;-;4;-;1;2;3;4;-;2;2;5;3;-;3;3;2;1;1;2;7;1;1;1;-;4;2;3;9;7;7;3;1;1;2;1;8;4;2;-;1;-;6;3;6;1;2;6;14;14;362
"22/04";3;-;3;7;8;-;8;4;-;1;20;-;9;2;1;5;18;15;31;1;2;10;7;3;11;6;5;5;3;20;6;7;2;3;16;27;9;8;-;1;8;21;6;3;15;8;7;1;3;2;3;-;4;2;4;5;1;6;8;6;4;3;1;3;2;5;1;7;12;2;1;3;-;3;8;3;14;24;4;2;-;5;3;3;19;9;4;1;6;2;2;1;13;3;2;7;16;15;613
"23/04";5;1;-;5;10;2;7;2;1;3;13;3;5;1;2;4;14;12;17;1;3;11;12;5;18;-;7;4;10;18;6;14;1;3;13;16;14;5;2;2;3;17;9;6;18;15;13;3;-;5;5;1;6;3;6;10;1;2;6;14;7;3;5;10;3;14;3;3;25;3;6;3;3;8;12;4;10;16;7;2;2;3;11;6;17;7;4;3;7;3;-;8;14;4;4;9;27;46;737
"24/04";13;2;1;11;12;4;19;11;1;1;23;3;5;2;6;9;35;22;30;7;4;22;18;8;31;7;10;13;10;21;10;21;7;15;21;25;25;21;3;4;7;33;13;13;25;27;17;4;6;7;7;1;14;12;21;12;2;11;10;12;11;6;4;10;10;8;5;16;37;10;8;11;8;14;13;7;14;22;17;1;1;9;11;11;25;10;10;2;12;7;5;21;18;10;9;15;42;57;1274
"25/04";1;4;1;4;10;3;3;4;-;-;5;1;3;1;2;3;9;7;20;3;1;7;15;4;10;2;1;9;9;30;5;8;6;3;6;19;9;1;-;6;3;28;3;4;18;6;7;2;8;3;2;-;4;3;5;8;-;2;10;3;7;5;2;2;3;9;3;3;18;3;5;3;2;7;4;2;7;14;22;-;1;4;5;2;8;7;2;4;3;1;4;4;8;5;3;5;12;31;584
"26/04";2;-;1;3;4;1;3;-;1;-;5;-;4;2;-;1;6;8;11;1;1;9;2;9;2;-;1;4;-;13;2;2;3;3;9;14;8;2;-;-;1;19;4;1;15;3;7;-;2;1;2;-;4;1;2;4;-;2;4;-;1;6;1;2;4;4;2;1;10;4;3;1;1;2;3;2;4;11;2;1;1;3;4;3;2;3;2;1;6;-;4;4;4;1;4;3;12;14;345
"27/04";12;2;4;9;19;3;8;1;1;3;30;3;18;4;4;16;31;25;70;10;3;15;13;16;29;10;4;8;8;35;11;15;18;12;26;27;22;10;1;7;16;40;10;14;44;22;15;8;7;4;5;-;8;8;31;7;2;15;15;13;5;4;14;9;4;17;10;9;36;9;2;6;6;16;19;11;12;32;13;6;2;5;13;6;37;9;7;3;13;6;6;16;14;5;11;17;47;61;1365
"28/04";3;9;7;5;14;7;8;4;1;3;25;1;19;2;17;10;26;11;36;5;1;25;14;19;18;14;9;7;12;29;11;19;12;43;21;28;23;14;1;3;10;50;9;34;43;17;12;7;12;7;6;-;24;9;22;13;1;17;15;11;25;11;23;9;7;15;4;6;27;8;11;14;4;19;19;8;16;33;12;1;4;22;19;3;40;14;10;3;10;11;3;31;15;7;11;13;52;67;1462
"29/04";6;11;3;7;23;2;7;6;3;2;35;7;16;3;7;12;27;12;52;5;5;15;17;7;15;12;11;13;10;33;6;15;15;25;12;26;21;13;1;5;14;54;13;24;38;14;17;14;7;4;6;2;26;6;29;13;1;12;18;10;12;4;18;11;8;16;5;20;23;15;9;15;7;16;20;7;16;12;20;3;3;5;21;4;20;11;4;2;9;6;7;24;19;5;7;15;50;64;1378
"30/04";4;2;3;4;14;4;10;7;3;2;27;4;13;1;7;11;17;15;34;6;2;28;24;17;9;4;13;8;11;40;6;13;5;14;28;29;21;12;1;4;12;38;12;8;23;6;19;9;9;4;5;1;13;5;11;13;-;12;15;9;9;5;10;9;5;17;7;9;28;8;5;9;3;12;14;5;16;24;8;2;3;7;21;7;15;15;6;1;15;2;8;19;15;8;2;10;75;70;1205
"01/05";4;-;1;3;3;2;4;2;3;2;12;1;10;1;8;7;13;9;18;5;-;12;16;7;6;4;4;8;6;28;5;8;6;6;11;10;8;2;1;2;7;49;3;7;19;4;8;5;3;7;3;-;5;-;13;3;-;4;7;12;8;4;8;2;3;7;-;7;8;12;3;6;2;2;7;4;7;11;5;2;1;4;1;2;21;3;1;1;5;3;5;9;9;1;7;7;18;28;651
"02/05";1;6;-;1;5;-;6;3;1;2;8;3;8;1;5;1;10;9;16;1;4;9;4;7;3;6;4;7;6;24;3;5;3;18;6;20;12;2;-;-;1;33;2;16;23;8;5;5;3;-;2;-;11;6;17;2;-;5;8;6;9;1;8;3;1;3;1;8;12;5;3;5;6;3;9;3;4;9;11;-;4;4;8;2;8;4;5;-;2;5;2;19;3;2;2;5;14;46;622
"03/05";3;1;-;-;5;-;-;1;1;2;13;2;2;1;1;3;8;5;20;3;-;7;5;6;5;-;1;2;6;18;2;5;1;-;6;14;6;4;-;-;3;37;3;-;15;1;3;3;-;1;4;-;5;2;-;9;-;4;4;2;2;2;-;2;2;4;-;3;13;-;1;3;1;1;6;-;5;12;3;1;1;2;2;2;10;2;2;3;2;1;1;3;8;-;4;2;10;18;389
"04/05";10;7;8;7;20;5;11;3;6;1;32;3;16;9;15;21;38;15;44;8;6;33;23;18;26;10;11;17;13;66;8;22;19;13;18;40;29;13;2;2;16;53;13;11;36;17;26;3;12;9;3;-;8;6;19;20;3;8;20;12;10;9;11;11;6;15;6;18;29;4;7;20;6;23;15;13;17;34;17;3;2;12;19;7;26;13;9;2;18;10;12;20;19;10;14;17;33;69;1549
"05/05";4;6;1;7;11;4;10;7;1;2;25;4;12;6;9;12;30;36;45;7;5;34;19;19;16;8;9;25;10;64;10;19;11;27;21;32;32;12;2;3;18;43;14;18;40;12;22;9;10;9;3;1;5;8;10;18;4;11;22;11;8;7;17;24;6;25;4;15;23;10;9;21;6;10;9;5;14;30;15;2;4;13;14;3;30;14;8;5;9;4;6;19;16;5;8;13;42;71;1449
