"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"06/05";7;11;4;8;24;5;10;5;1;3;29;2;13;8;8;15;29;23;38;3;2;33;23;17;21;8;9;16;12;47;9;12;16;17;26;43;33;7;-;9;19;63;10;15;41;11;18;4;7;7;4;1;14;9;21;23;5;7;24;7;13;13;9;21;7;9;7;8;29;5;10;14;6;13;26;9;17;28;8;5;4;15;18;12;32;21;10;4;12;5;7;26;19;17;13;20;56;65;1529
"07/05";8;6;3;9;19;3;11;2;4;3;24;3;16;8;6;10;34;11;42;9;3;36;15;5;21;4;13;10;13;39;11;11;5;13;22;26;33;14;5;2;10;56;13;10;60;13;26;5;13;4;4;1;15;8;19;16;2;18;22;6;7;4;7;17;5;12;8;12;23;4;8;18;4;5;14;6;10;33;12;8;6;8;17;5;20;12;11;1;9;3;13;20;11;4;5;9;47;80;1351
"08/05";7;4;2;4;18;3;9;4;-;3;20;3;11;4;6;11;12;12;46;6;7;30;18;11;22;6;13;16;8;35;14;6;5;13;14;35;28;8;1;-;9;58;9;11;39;5;17;5;9;6;3;-;10;7;16;19;1;10;20;13;7;6;6;10;6;14;1;6;29;8;3;14;6;9;17;7;19;34;12;2;6;15;16;7;30;11;8;2;7;6;5;11;26;15;12;15;59;66;1275
"09/05";2;2;4;5;10;1;4;4;-;4;10;-;4;2;7;11;15;10;15;5;4;18;5;8;13;8;2;8;3;29;2;6;4;6;8;16;5;4;-;3;3;24;-;7;14;6;11;-;5;1;5;1;7;2;13;6;4;3;13;11;2;1;3;10;2;6;1;5;17;6;5;4;1;5;4;3;5;19;3;-;3;2;10;2;21;2;3;-;10;-;4;11;8;6;4;5;15;28;639
"10/05";1;-;4;3;9;1;-;1;-;-;8;-;1;-;-;4;6;6;20;2;1;4;7;3;3;-;3;6;7;27;2;4;2;1;10;7;5;-;1;1;3;19;3;2;17;3;5;2;2;1;4;-;3;2;4;5;-;2;7;4;1;3;1;1;4;4;1;3;2;1;1;1;1;4;8;1;4;13;4;-;4;-;4;-;6;5;1;-;2;-;5;-;2;1;2;3;5;15;361
"11/05";6;5;2;6;26;2;-;4;-;1;12;-;12;4;3;5;19;15;38;1;2;18;23;7;20;3;7;16;6;50;8;11;8;16;21;21;22;11;2;3;9;27;9;9;21;8;8;5;2;8;3;1;9;7;13;17;1;5;19;8;6;2;1;8;11;17;2;12;22;4;4;4;1;2;12;8;12;17;6;2;3;8;13;5;26;7;5;3;16;3;8;17;10;9;9;9;2;30;961
"12/05";7;3;4;10;27;3;13;5;1;2;36;3;11;3;13;6;34;23;52;9;5;46;48;14;40;6;17;17;14;78;23;19;18;19;29;43;54;19;6;7;13;47;15;23;46;18;27;6;10;9;12;-;32;12;22;25;-;15;30;9;19;14;12;22;12;22;8;21;43;15;12;18;8;18;22;9;21;41;20;4;2;19;22;10;49;26;9;3;15;5;22;25;21;7;21;25;5;84;1889
"13/05";5;10;5;12;25;5;8;10;4;3;36;10;19;1;4;14;44;17;70;7;11;47;29;25;32;2;20;13;24;64;13;13;14;13;48;49;32;17;2;5;13;50;21;18;45;21;29;11;10;7;7;1;17;12;26;19;1;14;17;24;12;13;9;10;8;17;8;27;52;6;10;10;6;12;29;17;28;48;27;2;2;14;31;16;48;30;12;5;15;4;8;23;21;4;14;17;1;52;1813
"14/05";12;14;7;18;29;4;8;4;8;2;37;14;20;9;11;10;49;18;54;9;9;42;31;18;35;23;15;30;20;75;11;28;11;55;44;51;44;9;6;9;15;63;18;32;33;19;28;5;6;12;6;1;26;23;31;20;11;9;36;22;27;9;22;16;6;26;6;23;37;14;12;13;10;27;27;14;15;44;17;2;5;15;24;12;76;16;9;6;27;13;4;37;10;16;16;25;13;60;2070
"15/05";10;7;6;12;21;5;11;1;2;3;50;3;19;1;5;12;30;22;62;12;7;35;35;19;27;18;19;18;22;45;21;25;18;11;29;48;39;8;4;9;14;54;22;13;36;25;26;8;8;12;12;1;16;10;23;18;2;13;19;16;10;11;7;17;15;28;6;22;32;6;7;13;8;12;18;17;33;40;14;2;3;7;33;8;30;23;8;4;25;4;8;22;21;18;15;28;5;30;1709
"16/05";4;5;4;20;14;-;5;3;6;-;11;4;11;-;2;11;19;10;11;9;1;19;27;9;10;3;13;8;12;40;8;12;6;5;23;24;10;5;2;8;8;31;12;12;24;11;8;4;2;6;1;1;5;6;7;15;-;2;14;9;4;3;6;6;9;11;6;4;15;3;7;12;2;4;11;9;14;14;7;-;-;9;14;3;22;10;3;5;11;7;8;7;7;3;3;9;6;12;858
"17/05";1;-;2;2;7;-;-;1;-;-;5;-;4;-;1;1;13;6;21;2;-;9;6;11;12;3;5;1;4;20;1;10;5;-;7;6;7;4;-;-;4;14;7;2;15;3;1;2;2;2;3;-;-;1;4;8;1;3;5;9;-;6;2;4;3;7;1;-;4;-;2;2;2;3;7;1;10;14;5;-;1;-;1;3;15;5;1;1;4;-;5;4;2;5;2;3;3;22;413
"18/05";7;11;7;16;30;4;10;10;1;4;63;3;20;6;10;21;35;26;50;5;9;60;34;29;50;21;19;30;18;69;34;25;14;25;40;57;59;16;2;6;30;39;20;24;57;19;39;6;7;14;12;1;28;16;27;17;-;8;16;24;17;15;15;22;27;22;6;24;35;13;4;11;13;30;34;11;30;45;14;4;4;9;30;6;67;27;14;10;25;3;19;25;30;20;16;16;16;28;2117
"19/05";24;11;12;18;23;5;16;6;6;3;56;23;21;3;7;22;47;27;63;17;8;44;25;31;42;27;26;24;23;102;23;29;18;32;38;49;76;13;5;8;55;77;28;22;55;23;34;19;9;12;14;-;33;13;33;23;3;20;31;19;22;16;13;26;26;25;13;24;40;14;7;19;32;20;32;18;28;79;19;5;9;32;27;6;40;35;19;8;18;3;12;36;11;14;24;30;13;48;2439
"20/05";10;3;7;12;26;5;5;10;7;-;33;5;23;3;11;12;42;22;59;13;11;47;42;25;34;31;14;23;14;78;18;21;10;31;38;42;81;13;4;16;32;60;20;12;72;17;26;11;10;17;6;-;18;7;17;37;3;15;25;22;14;18;9;24;17;23;2;28;36;8;8;13;15;10;28;15;27;54;13;1;4;10;25;10;46;24;8;8;33;7;12;15;10;16;19;19;29;26;2012
"21/05";7;6;7;11;39;3;14;21;7;10;33;9;14;5;5;10;53;31;93;8;9;61;35;20;34;49;17;27;11;83;18;20;14;30;36;41;62;16;4;15;29;73;17;11;71;18;30;6;6;9;2;-;14;5;12;51;-;15;24;18;7;16;4;27;15;21;8;25;19;12;12;13;37;30;33;15;25;42;16;2;4;10;37;8;42;19;8;10;33;5;16;18;20;10;16;20;27;37;2118
"22/05";8;5;17;14;27;7;10;7;5;8;56;9;21;9;11;21;45;44;75;5;7;42;30;17;30;22;20;26;22;86;36;33;15;18;47;59;64;18;3;12;45;97;27;24;74;30;38;15;9;9;8;2;23;5;25;20;5;18;22;22;12;20;7;29;14;8;7;28;30;10;14;17;22;30;37;18;31;55;20;-;6;9;33;4;75;28;12;3;35;8;19;36;19;25;20;29;26;53;2378
"23/05";1;4;3;2;17;3;7;3;3;-;11;4;8;1;8;11;23;14;35;9;6;17;23;15;14;8;5;5;13;47;12;15;15;10;19;22;33;6;3;2;19;47;22;16;48;8;6;5;3;3;3;-;14;7;12;7;6;3;15;21;10;9;5;15;7;5;7;11;26;4;5;7;6;8;14;4;17;16;2;3;-;5;11;4;27;12;1;2;16;6;9;27;11;7;6;11;17;16;1091
"24/05";5;1;3;5;13;2;1;2;3;1;9;2;8;1;2;3;14;15;30;-;1;9;8;9;5;2;2;8;2;18;9;12;2;6;8;13;11;4;-;4;8;34;6;4;23;7;5;2;1;4;4;1;1;2;-;6;1;6;5;5;2;9;1;5;7;1;1;1;7;-;1;1;2;5;12;3;12;12;5;-;2;4;4;4;9;9;3;1;6;1;5;8;10;11;1;2;6;7;558
"25/05";9;7;7;19;28;2;7;17;4;6;53;7;19;5;13;7;61;41;93;9;11;55;45;30;43;15;21;23;23;76;22;44;20;21;35;50;93;19;6;3;47;104;21;12;86;17;25;12;3;6;6;1;15;10;13;23;3;29;33;35;12;20;8;28;8;19;7;24;39;21;3;27;16;29;32;11;31;66;19;3;6;18;41;9;63;42;15;4;29;7;9;22;17;14;11;22;21;37;2380
"26/05";8;7;8;14;17;2;28;10;5;4;57;15;26;8;12;14;50;18;79;19;11;56;46;35;28;13;14;20;30;79;35;33;20;13;47;63;51;21;6;3;43;92;29;23;73;27;24;8;11;11;8;1;25;11;13;29;2;24;35;24;12;36;11;36;19;22;17;35;60;23;4;15;23;26;28;26;29;71;17;8;8;17;45;5;49;41;24;5;36;8;11;25;18;17;17;33;30;66;2511
"27/05";9;9;19;20;38;6;18;18;4;6;79;15;16;8;15;34;95;42;104;16;17;76;66;40;36;221;26;29;28;83;26;47;31;22;39;82;65;35;4;8;37;94;30;27;89;33;38;21;11;15;10;3;42;25;20;31;6;24;35;45;20;23;10;43;30;33;8;29;63;8;21;29;22;35;33;16;45;64;30;9;5;25;42;9;48;35;18;6;42;11;18;32;46;24;22;28;41;59;3270
"28/05";19;6;7;14;24;6;18;13;1;2;50;18;14;6;13;16;92;22;95;12;10;90;42;40;43;72;20;15;22;122;21;53;26;23;36;75;47;24;3;12;51;124;27;21;92;33;41;9;15;16;12;1;30;38;34;47;3;41;37;18;11;21;18;38;14;32;8;31;65;15;16;18;28;31;36;26;41;100;18;4;13;38;34;7;65;47;27;4;34;6;11;31;19;13;33;30;57;54;3028
"29/05";23;5;7;21;28;13;15;14;7;11;64;10;14;2;6;25;74;29;100;17;10;65;50;33;51;73;35;23;27;111;25;39;31;43;41;54;48;24;4;15;42;84;35;23;67;24;40;11;8;12;9;1;185;9;29;39;5;19;38;26;10;17;17;33;18;23;8;34;74;12;16;20;16;30;36;21;32;87;20;2;7;25;46;14;51;38;18;4;32;11;10;51;31;18;29;32;35;64;3035
"30/05";6;2;6;16;16;3;9;6;5;4;11;7;11;2;4;7;38;20;41;9;6;20;21;19;15;5;9;16;12;31;16;25;5;16;16;30;16;4;-;-;15;65;15;9;44;16;14;3;8;6;9;-;12;10;6;12;1;9;9;15;8;19;6;18;11;14;5;10;27;6;7;9;5;14;19;4;23;36;15;1;2;8;14;1;20;11;5;2;12;1;4;17;10;7;16;9;14;26;1219
"31/05";2;1;3;7;7;1;4;1;-;-;9;5;9;4;2;7;22;10;41;1;2;9;15;10;13;1;7;4;4;23;6;20;6;1;11;16;16;7;1;3;9;31;12;6;39;7;7;2;2;4;1;-;2;7;6;10;1;5;8;8;2;7;7;6;9;-;-;7;20;4;4;8;4;8;16;5;8;19;7;1;2;7;9;3;22;4;10;5;3;4;6;10;8;9;9;9;10;24;774
"01/06";11;5;11;32;34;5;17;19;3;23;70;9;32;7;16;24;102;32;132;15;12;92;83;57;70;9;48;45;29;148;34;57;29;26;46;83;63;25;13;16;71;124;33;13;127;33;84;9;16;15;20;2;47;21;20;52;7;30;43;31;11;20;8;58;24;26;8;31;60;16;16;14;20;51;47;23;40;131;37;7;8;38;35;13;41;47;37;13;51;3;23;29;22;32;32;35;118;54;3661
"02/06";22;13;17;38;34;8;16;16;5;2;58;9;28;6;16;24;68;39;92;24;11;75;54;44;74;11;41;27;54;104;42;48;23;18;38;58;63;19;6;12;49;88;23;12;84;39;47;12;13;16;19;-;20;26;11;46;5;33;35;38;16;15;9;42;25;24;7;34;68;9;9;10;25;51;42;23;47;100;22;9;4;24;51;7;37;40;17;7;43;12;19;34;25;25;44;32;111;58;3150
"03/06";20;5;24;31;37;8;9;18;7;6;51;8;38;8;16;12;84;39;122;12;12;63;55;32;56;21;27;39;29;90;32;32;26;20;47;68;43;21;4;12;62;87;25;10;88;35;48;9;6;13;16;4;12;20;18;39;4;40;41;34;10;23;7;49;18;29;5;27;50;13;15;15;12;43;52;30;32;104;22;6;6;20;40;16;33;63;26;4;30;8;21;23;32;24;28;28;82;58;2999
"04/06";17;5;13;50;24;7;11;9;7;9;49;9;16;6;12;20;58;35;83;23;10;47;41;46;53;19;20;18;38;103;31;39;22;22;41;48;54;25;8;10;34;114;34;11;84;27;33;10;8;13;20;2;19;22;7;43;5;27;43;15;16;14;5;48;12;27;18;28;66;8;13;11;31;40;31;21;34;101;17;2;3;27;36;11;37;37;33;11;32;9;20;22;29;17;23;27;62;63;2771
"05/06";13;3;13;19;26;6;6;7;2;7;50;7;29;3;11;16;57;28;86;18;8;58;40;37;38;123;27;19;30;81;39;32;13;29;49;102;47;12;1;8;39;94;18;16;64;33;32;14;16;8;18;2;28;22;8;36;2;20;35;30;6;12;8;54;12;16;13;23;57;11;16;16;18;47;38;19;27;81;18;4;4;32;45;11;14;36;11;15;34;4;10;20;21;25;22;24;53;58;2670
"06/06";5;2;6;17;17;-;1;3;2;3;12;3;7;3;6;7;33;19;26;10;7;29;15;11;24;2;11;8;10;64;17;21;5;2;19;36;14;-;1;3;24;39;18;7;33;7;10;5;1;4;7;-;5;11;3;16;-;3;20;17;3;10;1;15;10;10;-;9;28;1;8;4;8;9;23;7;13;25;10;-;4;9;9;3;13;7;8;5;12;4;6;9;21;11;12;6;22;28;1094
"07/06";5;-;6;-;19;-;3;-;-;1;12;3;13;2;7;4;13;5;10;3;2;7;15;17;8;-;1;9;8;21;6;7;6;3;17;21;14;5;1;3;7;24;15;3;15;5;7;2;2;2;2;-;-;2;3;12;-;6;7;8;4;10;2;5;6;6;2;3;8;3;3;9;5;6;10;5;-;5;5;2;2;7;12;2;8;17;3;3;14;-;5;6;9;10;6;2;13;19;636
"08/06";24;9;17;36;33;3;13;15;2;10;67;9;54;5;15;18;112;39;100;27;17;67;66;44;69;22;29;47;25;128;38;70;24;26;90;80;52;19;3;7;50;116;23;15;93;37;69;12;9;19;17;-;22;19;20;54;4;37;50;46;7;30;20;52;21;24;5;35;66;17;16;27;20;55;74;29;57;111;10;7;5;24;42;11;35;56;22;10;39;12;27;25;36;28;33;37;55;64;3487
"09/06";18;7;25;40;26;2;15;10;3;13;69;11;35;9;16;19;75;52;96;27;24;59;42;44;61;45;23;26;42;97;30;46;33;30;47;76;56;18;9;8;76;83;36;26;103;41;60;8;14;23;16;1;21;11;10;54;7;17;36;43;16;18;20;38;27;27;9;39;65;15;18;25;22;34;54;21;33;110;31;4;8;37;40;11;37;55;34;13;41;10;20;42;28;21;34;27;55;76;3285
"10/06";17;4;17;23;35;3;22;12;5;3;67;4;49;6;11;15;76;43;104;14;18;48;46;48;63;50;22;25;34;114;21;43;26;34;58;55;52;40;11;5;65;105;22;11;86;36;51;13;7;23;22;-;27;9;9;34;7;17;38;32;14;10;6;56;19;25;16;26;61;10;19;19;16;46;35;15;42;101;16;3;8;15;32;12;28;32;13;6;30;8;15;12;38;22;31;25;39;59;2937
"11/06";20;2;21;23;23;4;8;15;2;8;76;7;35;4;14;9;78;25;116;17;17;60;59;50;54;71;18;33;32;100;17;38;38;11;53;69;37;35;6;6;49;103;33;12;93;16;37;9;7;23;14;3;16;18;8;65;13;14;41;31;16;30;11;39;19;20;5;32;46;10;15;12;39;47;50;20;36;81;13;-;5;31;43;20;31;38;18;5;33;8;14;27;36;37;21;32;88;55;2999
"12/06";16;2;16;23;35;4;18;6;21;8;68;11;31;9;19;15;56;29;87;16;18;84;45;52;33;105;20;24;32;105;24;45;16;20;67;79;45;20;7;16;73;73;24;13;79;28;42;11;17;27;10;1;28;18;10;42;10;31;46;27;12;9;9;46;20;30;8;33;59;13;14;8;16;57;54;21;39;85;26;15;6;20;48;28;38;56;24;15;34;7;21;34;28;30;29;38;51;57;3095
"13/06";5;2;13;16;12;2;8;3;1;2;15;8;16;5;5;12;15;28;32;7;5;37;24;17;27;8;13;12;16;44;19;19;4;9;47;20;21;12;5;6;20;67;15;4;50;18;25;5;1;12;6;-;5;5;5;15;4;9;17;11;7;4;5;10;19;7;1;7;23;4;13;8;14;21;24;12;21;38;10;5;4;11;25;8;10;10;17;4;32;5;14;11;17;13;13;14;43;29;1399
"14/06";2;4;6;4;8;-;5;3;1;1;9;2;14;4;2;2;11;6;25;1;1;9;18;9;11;4;3;5;3;26;9;11;6;2;20;19;6;4;1;5;6;31;3;3;32;9;8;13;3;3;3;-;2;5;3;10;-;5;6;7;4;3;5;8;3;2;3;3;20;5;4;3;7;3;20;2;8;21;8;1;-;3;3;2;1;16;3;4;4;-;12;3;6;9;7;7;7;18;672
"15/06";34;12;17;47;49;6;9;30;15;8;82;24;48;12;20;19;92;64;100;50;24;80;103;56;63;55;39;54;50;139;34;54;39;20;66;112;56;38;8;17;82;123;64;16;111;49;51;22;11;33;44;3;29;40;20;49;13;34;39;68;31;29;21;94;54;34;10;44;77;19;52;12;41;60;60;50;44;119;33;2;18;45;71;54;45;77;33;27;47;19;32;23;53;46;36;47;78;85;4468
"16/06";101;19;36;142;160;27;37;143;160;90;153;70;221;68;47;107;175;263;149;136;84;186;167;210;108;37;89;161;142;226;89;112;101;35;188;359;148;126;24;31;218;149;159;47;173;160;150;66;66;110;200;5;41;136;33;94;43;109;76;243;64;51;34;360;200;66;48;114;187;94;216;51;112;174;173;133;79;220;81;40;33;160;269;268;105;173;117;102;183;30;111;88;207;152;114;86;136;71;12107
"17/06";16;4;28;34;34;7;15;15;8;10;47;9;23;5;14;18;41;33;85;21;9;51;47;47;47;10;18;23;31;91;19;38;19;13;71;62;27;19;8;4;44;93;35;19;56;36;32;14;5;14;18;-;15;18;6;33;6;20;29;32;19;21;6;47;21;19;7;28;59;15;21;17;21;49;37;23;45;110;18;2;5;22;56;15;31;33;13;10;34;7;8;18;33;23;24;21;83;59;2726
"18/06";10;1;14;30;39;3;8;15;7;9;59;11;11;6;10;21;59;22;71;9;15;52;35;25;55;5;17;32;37;74;26;39;19;19;67;52;23;37;3;13;34;77;27;11;84;31;47;17;13;16;13;-;6;12;6;26;5;12;33;19;16;19;8;40;18;23;11;16;73;6;17;9;22;38;47;20;38;96;12;-;5;35;30;8;30;29;23;10;50;9;22;19;22;22;41;17;52;51;2553
"19/06";18;14;22;19;38;3;17;9;4;5;63;5;22;4;10;17;68;21;61;14;19;94;37;39;55;11;19;17;31;92;24;24;25;17;52;60;41;35;2;11;41;75;30;16;61;39;51;24;3;26;14;6;9;10;18;31;3;18;31;36;11;12;13;48;21;32;13;34;49;11;24;19;18;47;50;31;34;90;13;7;5;25;42;12;28;35;24;4;28;11;14;25;24;15;20;30;156;52;2808
"20/06";11;3;7;18;11;4;11;5;2;4;23;4;17;4;11;17;36;24;42;7;10;23;17;21;19;9;13;13;9;44;11;30;13;17;36;26;21;7;3;6;35;29;25;24;43;19;15;8;6;10;12;-;15;16;11;12;5;17;12;20;13;2;12;15;13;10;6;7;30;8;14;6;12;14;29;14;18;49;23;1;5;27;17;7;25;21;12;4;23;1;15;18;10;17;18;11;113;30;1613
"21/06";4;1;9;6;9;2;4;4;2;-;17;2;11;2;2;3;12;11;25;-;2;7;14;7;10;4;4;15;6;25;10;8;5;7;25;16;20;3;-;-;10;36;15;7;28;8;9;-;2;2;5;-;4;20;3;6;1;3;9;6;9;10;7;9;5;12;2;8;13;2;5;8;2;5;11;16;5;19;2;-;1;7;4;1;7;11;3;7;9;1;8;7;7;8;9;3;13;20;764
"22/06";19;6;23;34;43;5;11;11;11;8;76;13;40;6;11;28;95;44;134;17;25;66;70;50;53;9;23;42;29;122;41;64;33;25;77;80;58;37;7;11;72;97;36;28;116;49;58;21;17;20;15;1;18;19;22;36;8;23;43;45;32;27;16;54;25;35;10;20;65;13;19;21;25;67;67;28;37;116;20;4;7;23;56;19;48;61;36;10;49;10;20;32;29;49;36;26;165;71;3749
"23/06";24;6;14;25;40;3;15;12;9;7;77;12;39;9;27;22;76;40;92;12;19;65;51;30;63;19;23;34;51;105;37;64;36;24;76;64;34;29;6;12;53;85;37;21;81;53;53;10;8;17;24;4;28;21;11;36;1;22;32;26;17;19;21;46;15;31;20;24;75;23;24;16;19;57;61;19;34;144;22;3;7;30;37;15;41;42;25;12;45;13;17;47;26;34;31;22;176;63;3399
"24/06";10;6;20;25;35;7;8;12;10;6;68;8;26;3;9;18;59;31;71;33;22;47;58;41;53;4;21;25;26;119;31;50;34;16;60;75;33;26;5;3;57;70;30;13;77;46;44;23;8;18;19;1;12;22;13;31;2;16;36;35;18;11;10;43;25;28;2;21;70;12;18;17;26;41;59;24;40;93;26;4;5;26;28;15;26;43;28;14;40;10;16;27;19;37;28;26;38;64;2865
"25/06";22;7;24;22;31;9;14;20;4;7;80;12;25;6;17;22;70;46;77;27;21;80;60;40;53;9;27;28;44;90;38;46;23;20;64;77;49;20;9;13;43;56;26;15;84;43;58;14;7;22;13;1;15;27;11;40;1;26;38;32;17;27;23;44;26;26;22;17;82;8;24;14;19;41;52;19;32;108;19;4;8;23;41;16;30;54;24;16;44;7;22;21;24;29;22;21;53;62;3066
"26/06";9;4;14;17;31;5;8;11;4;12;68;9;32;9;14;14;71;34;85;13;16;61;39;38;43;5;15;29;30;104;33;38;23;28;55;63;36;32;4;12;44;59;39;13;78;51;40;15;10;25;13;-;12;23;9;24;6;23;36;25;13;18;6;31;18;18;4;14;64;15;20;16;22;36;46;33;42;82;26;4;11;19;38;16;31;36;19;12;49;3;15;15;31;28;33;23;32;51;2703
"27/06";12;4;11;15;24;5;9;8;11;10;32;60;28;3;17;10;39;38;30;9;18;27;38;29;21;16;17;38;14;54;16;23;14;13;45;59;28;16;1;16;26;40;23;17;46;25;30;23;8;13;22;-;2;26;7;9;5;19;15;47;8;17;10;25;20;17;13;217;36;13;21;10;16;23;43;20;24;49;19;6;6;21;33;18;16;25;10;6;28;4;11;18;27;30;18;20;30;39;2248
"28/06";4;1;4;6;17;1;5;5;6;9;8;3;9;1;5;6;11;17;16;4;7;11;9;16;12;-;10;11;12;34;7;10;7;4;31;23;5;5;1;2;22;23;13;4;23;9;8;4;4;8;15;-;2;10;1;6;-;6;10;11;6;5;5;28;6;6;6;11;18;7;9;7;4;7;17;10;11;16;3;5;1;5;17;13;12;21;6;8;12;-;7;7;12;7;9;4;10;14;886
"29/06";15;5;10;30;38;10;19;31;21;7;75;16;41;10;20;26;88;42;107;20;27;79;65;52;58;10;31;44;61;132;47;49;37;35;78;93;70;32;6;13;48;89;58;12;98;63;55;20;17;21;34;1;18;27;15;38;8;21;41;46;14;28;8;57;26;34;13;43;80;15;32;36;23;84;59;39;40;126;17;4;10;28;50;33;39;61;33;13;55;16;16;26;37;43;26;35;27;60;3766
